,Parcel ID,Property address
142,429-05-084,"1184 Blewett Av San Jose, CA 95125"
143,429-05-086,"1137 Settle Av San Jose, CA 95125"
144,429-06-012,"1193 Blewett Av San Jose, CA 95125"
145,429-06-014,"1207 Blewett Av San Jose, CA 95125"
146,429-06-015,"1215 Blewett Av San Jose, CA 95125"
147,429-06-019,"1245 Blewett Av San Jose, CA 95125"
148,429-06-021,"1265 Blewett Av San Jose, CA 95125"
149,429-06-025,"1289 Blewett Av San Jose, CA 95125"
150,429-06-026,"1295 Blewett Av San Jose, CA 95125"
151,429-06-029,"1317 Blewett Av San Jose, CA 95125"
152,429-06-030,"1325 Blewett Av San Jose, CA 95125"
153,429-06-041,"1384 Lincoln Av San Jose, CA 95125"
154,429-06-044,"1360 Lincoln Av San Jose, CA 95125"
155,429-06-045,"1352 Lincoln Av San Jose, CA 95125"
156,429-06-046,"1342 Lincoln Av San Jose, CA 95125"
157,429-06-047,"1330 Lincoln Av San Jose, CA 95125"
158,429-06-050,"1306 Lincoln Av San Jose, CA 95125"
159,429-06-061,"1224 Lincoln Av San Jose, CA 95125"
160,429-06-064,"1190 Lincoln Av San Jose, CA 95125"
161,429-06-065,"1180 Lincoln Av San Jose, CA 95125"
162,429-06-066,"1174 Lincoln Av San Jose, CA 95125"
163,429-06-074,"1314 Lincoln Av San Jose, CA 95125"
164,429-06-081,"1305 Blewett Av San Jose, CA 95125"
165,429-06-083,"1055 Minnesota Av San Jose, CA 95125"
166,429-06-085,"1311 Blewett Av San Jose, CA 95125"
167,429-06-089,"1331 Blewett Av San Jose, CA 95125"
168,429-06-090,"1318 Lincoln Av San Jose, CA 95125"
169,429-07-001,"1191 Lincoln Av San Jose, CA 95125"
170,429-07-004,"1127 Meredith Av San Jose, CA 95125"
171,429-07-006,"1137 Meredith Av San Jose, CA 95125"
172,429-07-008,"1145 Meredith Av San Jose, CA 95125"
173,429-07-013,"1144 Coolidge Av San Jose, CA 95125"
174,429-07-015,"1124 Coolidge Av San Jose, CA 95125"
175,429-07-016,"1118 Coolidge Av San Jose, CA 95125"
176,429-07-017,"1146 Willow St San Jose, CA 95125"
177,429-07-018,"1142 Willow St San Jose, CA 95125"
178,429-07-032,"1165 Lincoln Av San Jose, CA 95125"
179,429-07-040,"1134 Willow St San Jose, CA 95125"
180,429-07-041,"1133 Lincoln Av San Jose, CA 95125"
181,429-07-042,"1151 Lincoln Av San Jose, CA 95125"
182,429-08-001,"1235 Coolidge Av San Jose, CA 95125"
183,429-08-002,"1161 Britton Av San Jose, CA 95125"
184,429-08-003,"1165 Britton Av San Jose, CA 95125"
185,429-08-004,"1169 Britton Av San Jose, CA 95125"
186,429-08-005,"1173 Britton Av San Jose, CA 95125"
187,429-08-008,"1185 Britton Av San Jose, CA 95125"
188,429-08-015,"1172 Meredith Av San Jose, CA 95125"
189,429-08-020,"1198 Crescent Dr San Jose, CA 95125"
190,429-08-022,"1194 Crescent Dr San Jose, CA 95125"
191,429-08-023,"1192 Crescent Dr San Jose, CA 95125"
192,429-08-025,"1188 Crescent Dr San Jose, CA 95125"
193,429-08-026,"1186 Crescent Dr San Jose, CA 95125"
194,429-08-027,"1184 Crescent Dr San Jose, CA 95125"
195,429-08-028,"1182 Crescent Dr San Jose, CA 95125"
196,429-08-029,"1101 Coolidge Av San Jose, CA 95125"
197,429-08-034,"1155 Coolidge Av San Jose, CA 95125"
198,429-08-035,"1165 Coolidge Av San Jose, CA 95125"
199,429-08-036,"1175 Coolidge Av San Jose, CA 95125"
200,429-08-037,"1185 Coolidge Av San Jose, CA 95125"
201,429-08-039,"1185 Meredith Av San Jose, CA 95125"
202,429-08-040,"1196 Carolyn Av San Jose, CA 95125"
203,429-08-041,"1174 Carolyn Av San Jose, CA 95125"
204,429-08-042,"1162 Carolyn Av San Jose, CA 95125"
205,429-08-043,"1150 Carolyn Av San Jose, CA 95125"
206,429-08-044,"1138 Carolyn Av San Jose, CA 95125"
207,429-08-049,"1185 Crescent Dr San Jose, CA 95125"
208,429-08-050,"1187 Crescent Dr San Jose, CA 95125"
209,429-08-052,"1191 Crescent Dr San Jose, CA 95125"
210,429-08-053,"1193 Crescent Dr San Jose, CA 95125"
211,429-08-054,"1195 Crescent Dr San Jose, CA 95125"
212,429-09-002,"1190 Glenn Av San Jose, CA 95125"
213,429-09-003,"1182 Glenn Av San Jose, CA 95125"
214,429-09-004,"1174 Glenn Av San Jose, CA 95125"
215,429-09-006,"1162 Glenn Av San Jose, CA 95125"
216,429-09-009,"1140 Glenn Av San Jose, CA 95125"
217,429-09-010,"1134 Glenn Av San Jose, CA 95125"
218,429-09-011,"1122 Glenn Av San Jose, CA 95125"
219,429-09-013,"1110 Glenn Av San Jose, CA 95125"
220,429-09-020,"1175 Carolyn Av San Jose, CA 95125"
221,429-09-021,"1189 Carolyn Av San Jose, CA 95125"
222,429-09-023,"1199 Meredith Av San Jose, CA 95125"
223,429-09-024,"1198 Cherry Av San Jose, CA 95125"
224,429-09-025,"1192 Cherry Av San Jose, CA 95125"
225,429-09-027,"1176 Cherry Av San Jose, CA 95125"
226,429-09-030,"1152 Cherry Av San Jose, CA 95125"
227,429-09-031,"1136 Cherry Av San Jose, CA 95125"
228,429-09-032,"1124 Cherry Av San Jose, CA 95125"
229,429-09-033,"1100 Cherry Av San Jose, CA 95125"
230,429-09-036,"1105 Glenn Av San Jose, CA 95125"
231,429-09-037,"1109 Glenn Av San Jose, CA 95125"
232,429-09-038,"1117 Glenn Av San Jose, CA 95125"
233,429-09-040,"1131 Glenn Av San Jose, CA 95125"
234,429-09-041,"1137 Glenn Av San Jose, CA 95125"
235,429-09-042,"1145 Glenn Av San Jose, CA 95125"
236,429-09-043,"1153 Glenn Av San Jose, CA 95125"
237,429-09-045,"1167 Glenn Av San Jose, CA 95125"
238,429-09-047,"1181 Glenn Av San Jose, CA 95125"
239,429-10-003,"1180 Camino Pablo San Jose, CA 95125"
240,429-10-005,"1160 Camino Pablo San Jose, CA 95125"
241,429-10-011,"1260 Willow St San Jose, CA 95125"
242,429-10-013,"1123 Cherry Av San Jose, CA 95125"
243,429-10-014,"1133 Cherry Av San Jose, CA 95125"
244,429-10-015,"1143 Cherry Av San Jose, CA 95125"
245,429-10-018,"1173 Cherry Av San Jose, CA 95125"
246,429-10-019,"1183 Cherry Av San Jose, CA 95125"
247,429-10-021,"1199 Cherry Av San Jose, CA 95125"
248,429-10-022,"1190 Camino Ramon San Jose, CA 95125"
249,429-10-024,"1152 Camino Ramon San Jose, CA 95125"
250,429-10-025,"1134 Camino Ramon San Jose, CA 95125"
251,429-10-027,"1290 Willow St San Jose, CA 95125"
252,429-10-028,"1105 Camino Pablo San Jose, CA 95125"
253,429-10-031,"1135 Camino Pablo San Jose, CA 95125"
254,429-10-032,"1145 Camino Pablo San Jose, CA 95125"
255,429-10-033,"1155 Camino Pablo San Jose, CA 95125"
256,429-10-036,"1185 Camino Pablo San Jose, CA 95125"
257,429-10-037,"1195 Camino Pablo San Jose, CA 95125"
258,429-12-001,"1301 Weaver Dr San Jose, CA 95125"
259,429-12-004,"1351 Weaver Dr San Jose, CA 95125"
260,429-12-007,"1346 Britton Av San Jose, CA 95125"
261,429-12-008,"1342 Britton Av San Jose, CA 95125"
262,429-04-036,"976 Longley Av San Jose, CA 95125"
263,429-12-010,"1334 Britton Av San Jose, CA 95125"
264,429-12-015,"1285 Ridley WY San Jose, CA 95125"
265,429-12-016,"1321 Ridley WY San Jose, CA 95125"
266,429-12-017,"1325 Ridley WY San Jose, CA 95125"
267,429-12-021,"1333 Glen Dell Dr San Jose, CA 95125"
268,429-12-022,"1337 Glen Dell Dr San Jose, CA 95125"
269,429-12-025,"1345 Glen Dell Dr San Jose, CA 95125"
270,429-12-029,"1338 Glen Dell Dr San Jose, CA 95125"
271,429-12-009,"1338 Britton Av San Jose, CA 95125"
272,429-12-030,"1332 Glen Dell Dr San Jose, CA 95125"
273,429-12-033,"1320 Glen Dell Dr San Jose, CA 95125"
274,429-12-035,"1312 Glen Dell Dr San Jose, CA 95125"
275,429-12-038,"1353 Camino Ramon San Jose, CA 95125"
276,429-12-039,"1383 Camino Ramon San Jose, CA 95125"
277,429-12-040,"1321 Minnesota Av San Jose, CA 95125"
278,429-12-031,"1328 Glen Dell Dr San Jose, CA 95125"
279,429-12-043,"1367 Minnesota Av San Jose, CA 95125"
280,429-12-042,"1351 Minnesota Av San Jose, CA 95125"
281,429-12-046,"1413 Minnesota Av San Jose, CA 95125"
282,429-12-047,"1429 Minnesota Av San Jose, CA 95125"
283,429-12-048,"1445 Minnesota Av San Jose, CA 95125"
284,429-13-005,"1286 Ridley WY San Jose, CA 95125"
285,429-13-009,"1235 Camino Ramon San Jose, CA 95125"
286,429-13-010,"1257 Camino Ramon San Jose, CA 95125"
287,429-13-011,"1277 Camino Ramon San Jose, CA 95125"
288,429-13-012,"1303 Camino Ramon San Jose, CA 95125"
289,429-13-013,"1323 Camino Ramon San Jose, CA 95125"
290,429-13-014,"1307 Glen Dell Dr San Jose, CA 95125"
291,429-13-015,"1344 Camino Ramon San Jose, CA 95125"
292,429-13-021,"1240 Camino Ramon San Jose, CA 95125"
293,429-13-022,"1206 Camino Ramon San Jose, CA 95125"
294,429-13-023,"1205 Camino Pablo San Jose, CA 95125"
295,429-13-026,"1243 Camino Pablo San Jose, CA 95125"
296,429-13-027,"1259 Camino Pablo San Jose, CA 95125"
297,429-13-029,"1289 Camino Pablo San Jose, CA 95125"
298,429-13-030,"1305 Camino Pablo San Jose, CA 95125"
299,429-13-040,"1234 Camino Pablo San Jose, CA 95125"
300,429-13-041,"1222 Camino Pablo San Jose, CA 95125"
301,429-13-042,"1212 Camino Pablo San Jose, CA 95125"
302,429-13-046,"1225 Cherry Av San Jose, CA 95125"
303,429-13-054,"1319 Cherry Av San Jose, CA 95125"
304,429-13-057,"1253 Glen Dell Dr San Jose, CA 95125"
305,429-13-064,"1290 Glen Dell Dr San Jose, CA 95125"
306,429-13-065,"1278 Glen Dell Dr San Jose, CA 95125"
307,429-13-066,"1268 Glen Dell Dr San Jose, CA 95125"
308,429-13-067,"1260 Glen Dell Dr San Jose, CA 95125"
309,429-13-069,"1355 Cherry Av San Jose, CA 95125"
310,429-13-071,"1215 Camino Ramon San Jose, CA 95125"
311,429-13-072,"1265 Minnesota Av San Jose, CA 95125"
312,429-13-073,"1285 Minnesota Av San Jose, CA 95125"
313,429-13-074,"1384 Camino Ramon San Jose, CA 95125"
314,429-13-075,"1277 Minnesota Av San Jose, CA 95125"
315,429-13-076,"1259 Minnesota Av San Jose, CA 95125"
316,429-13-077,"1271 Minnesota Av San Jose, CA 95125"
317,429-13-079,"1229 Camino Pablo San Jose, CA 95125"
318,429-13-085,"1297 Cherry Av San Jose, CA 95125"
319,429-14-008,"1365 Newport Av San Jose, CA 95125"
320,429-14-024,"1370 Cherry Av San Jose, CA 95125"
321,429-14-027,"1318 Cherry Av San Jose, CA 95125"
322,429-14-028,"1203 Minnesota Av San Jose, CA 95125"
323,429-14-029,"1211 Minnesota Av San Jose, CA 95125"
324,429-15-006,"1252 Cherry Av San Jose, CA 95125"
325,429-15-011,"1221 Glenn Av San Jose, CA 95125"
326,429-15-012,"1229 Glenn Av San Jose, CA 95125"
327,429-15-013,"1237 Glenn Av San Jose, CA 95125"
328,429-15-014,"1243 Glenn Av San Jose, CA 95125"
329,429-15-015,"1249 Glenn Av San Jose, CA 95125"
330,429-15-016,"1253 Glenn Av San Jose, CA 95125"
331,429-15-017,"1275 Glenn Av San Jose, CA 95125"
332,429-15-018,"1280 Glenn Av San Jose, CA 95125"
333,429-15-019,"1270 Glenn Av San Jose, CA 95125"
334,429-15-020,"1260 Glenn Av San Jose, CA 95125"
335,429-15-027,"1192 Britton Av San Jose, CA 95125"
336,429-15-028,"1188 Britton Av San Jose, CA 95125"
337,429-15-030,"1180 Britton Av San Jose, CA 95125"
338,429-15-031,"1176 Britton Av San Jose, CA 95125"
339,429-15-033,"1168 Britton Av San Jose, CA 95125"
340,429-15-034,"1164 Britton Av San Jose, CA 95125"
341,429-15-048,"1298 Cherry Av San Jose, CA 95125"
342,429-15-050,"1250 Glenn Av San Jose, CA 95125"
343,429-15-052,"1209 Glenn Av San Jose, CA 95125"
344,429-15-054,"1195 Brace Av San Jose, CA 95125"
345,429-15-055,"1191 Brace Av San Jose, CA 95125"
346,429-15-056,"1179 Brace Av San Jose, CA 95125"
347,429-15-058,"1273 Coolidge Av San Jose, CA 95125"
348,429-15-061,"1270 Cherry Av San Jose, CA 95125"
349,429-15-062,"1157 Brace Av San Jose, CA 95125"
350,429-16-001,"1282 Coolidge Av San Jose, CA 95125"
351,429-16-004,"1266 Coolidge Av San Jose, CA 95125"
352,429-16-005,"1260 Coolidge Av San Jose, CA 95125"
353,429-16-006,"1256 Coolidge Av San Jose, CA 95125"
354,429-16-008,"1244 Coolidge Av San Jose, CA 95125"
355,429-16-021,"1116 Meredith Av San Jose, CA 95125"
356,429-16-022,"1112 Meredith Av San Jose, CA 95125"
357,429-16-030,"1261 Lincoln Av San Jose, CA 95125"
358,429-16-039,"1147 Brace Av San Jose, CA 95125"
359,429-16-040,"1149 Brace Av San Jose, CA 95125"
360,429-16-044,"1272 Coolidge Av San Jose, CA 95125"
361,429-16-046,"1248 Coolidge Av San Jose, CA 95125"
362,429-16-048,"1213 Lincoln Av San Jose, CA 95125"
363,429-16-052,"1214 Fiddlers Green San Jose, CA 95125"
364,429-16-056,"1217 Fiddlers Green San Jose, CA 95125"
365,429-16-057,"1219 Fiddlers Green San Jose, CA 95125"
366,429-16-058,"1230 Hawkhurst Pl San Jose, CA 95125"
367,429-16-061,"1224 Hawkhurst Pl San Jose, CA 95125"
368,429-16-063,"1220 Hawkhurst Pl San Jose, CA 95125"
369,429-16-064,"1218 Fiddlers Green San Jose, CA 95125"
370,429-16-072,"1137 Brace Av, unit 4 San Jose, CA 95125"
371,429-16-074,"1285 Lincoln Av San Jose, CA 95125"
372,429-16-075,"1298 Old Willow Pl San Jose, CA 95125"
373,429-16-077,"1286 Old Willow Pl San Jose, CA 95125"
374,429-16-078,"1280 Old Willow Pl San Jose, CA 95125"
375,429-16-083,"1299 Old Willow Pl San Jose, CA 95125"
376,429-17-001,"1306 Newport Av San Jose, CA 95125"
377,429-17-004,"1180 Brace Av San Jose, CA 95125"
378,429-17-005,"1172 Brace Av San Jose, CA 95125"
379,429-17-007,"1164 Brace Av San Jose, CA 95125"
380,429-17-013,"1140 Brace Av San Jose, CA 95125"
381,429-17-018,"1325 Iris CT San Jose, CA 95125"
382,429-17-020,"1343 Iris CT San Jose, CA 95125"
383,429-17-021,"1349 Iris CT San Jose, CA 95125"
384,429-17-022,"1344 Iris CT San Jose, CA 95125"
385,429-17-023,"1340 Iris CT San Jose, CA 95125"
386,429-17-024,"1336 Iris CT San Jose, CA 95125"
387,429-17-035,"1345 Lincoln Av San Jose, CA 95125"
388,429-17-062,"1336 Newport Av San Jose, CA 95125"
389,429-17-065,"1147 Minnesota Av San Jose, CA 95125"
390,429-17-067,"1151 Minnesota Av San Jose, CA 95125"
391,429-17-070,"1195 Minnesota Av San Jose, CA 95125"
392,429-17-071,"1139 Minnesota Av San Jose, CA 95125"
393,429-17-077,"1351 Lincoln Av San Jose, CA 95125"
394,429-17-082,"1328 Iris CT San Jose, CA 95125"
395,429-17-084,"1337 Iris CT San Jose, CA 95125"
396,429-17-088,"1149 Minnesota Av San Jose, CA 95125"
397,429-17-093,"1179 Minnesota Av San Jose, CA 95125"
398,429-17-096,"1189 Minnesota Av San Jose, CA 95125"
399,429-17-097,"1185 Minnesota Av, unit A San Jose, CA 95125"
400,429-17-098,"1185 Minnesota Av, unit B San Jose, CA 95125"
401,429-17-104,"1185 Minnesota Av, unit C San Jose, CA 95125"
402,429-17-109,"1144 Brace Av San Jose, CA 95125"
403,429-17-111,"1142 Brace Av San Jose, CA 95125"
404,429-17-112,"1148 Brace Av San Jose, CA 95125"
405,429-18-004,"1031 Michigan Av San Jose, CA 95125"
406,429-18-005,"1045 Michigan Av San Jose, CA 95125"
407,429-18-006,"1055 Michigan Av San Jose, CA 95125"
408,429-18-007,"1065 Michigan Av San Jose, CA 95125"
409,429-18-008,"1075 Michigan Av San Jose, CA 95125"
410,429-18-026,"1002 Michigan Av San Jose, CA 95125"
411,429-18-028,"1005 California Av San Jose, CA 95125"
412,429-18-029,"1015 California Av San Jose, CA 95125"
413,429-18-032,"1045 California Av San Jose, CA 95125"
414,429-18-033,"1055 California Av San Jose, CA 95125"
415,429-18-036,"1085 California Av San Jose, CA 95125"
416,429-18-044,"1076 Michigan Av San Jose, CA 95125"
417,429-18-047,"1046 Michigan Av San Jose, CA 95125"
418,429-18-048,"1032 Michigan Av San Jose, CA 95125"
419,429-18-049,"1020 Michigan Av San Jose, CA 95125"
420,429-18-050,"1016 Michigan Av San Jose, CA 95125"
421,429-18-051,"1060 Minnesota Av San Jose, CA 95125"
422,429-18-057,"1486 Lincoln Av San Jose, CA 95125"
423,429-18-061,"1095 California Av San Jose, CA 95125"
424,429-18-071,"1010 Minnesota Av San Jose, CA 95125"
425,429-18-072,"1415 Settle Av San Jose, CA 95125"
426,429-19-001,"903 Michigan Av San Jose, CA 95125"
427,429-19-002,"911 Michigan Av San Jose, CA 95125"
428,429-19-003,"919 Michigan Av San Jose, CA 95125"
429,429-19-013,"997 Michigan Av San Jose, CA 95125"
430,429-19-014,"1434 Settle Av San Jose, CA 95125"
431,429-19-016,"990 Minnesota Av San Jose, CA 95125"
432,429-19-017,"988 Minnesota Av San Jose, CA 95125"
433,429-19-018,"984 Minnesota Av San Jose, CA 95125"
434,429-19-019,"980 Minnesota Av San Jose, CA 95125"
435,429-19-022,"968 Minnesota Av San Jose, CA 95125"
436,429-19-023,"964 Minnesota Av San Jose, CA 95125"
437,429-19-024,"920 Minnesota Av San Jose, CA 95125"
438,429-19-025,"914 Minnesota Av San Jose, CA 95125"
439,429-19-026,"908 Minnesota Av San Jose, CA 95125"
440,429-19-028,"903 California Av San Jose, CA 95125"
441,429-19-029,"909 California Av San Jose, CA 95125"
442,429-19-036,"963 California Av San Jose, CA 95125"
443,429-19-039,"987 California Av San Jose, CA 95125"
444,429-19-041,"1480 Settle Av San Jose, CA 95125"
445,429-19-042,"1470 Settle Av San Jose, CA 95125"
446,429-19-043,"998 Michigan Av San Jose, CA 95125"
447,429-19-045,"982 Michigan Av San Jose, CA 95125"
448,429-19-046,"974 Michigan Av San Jose, CA 95125"
449,429-19-049,"950 Michigan Av San Jose, CA 95125"
450,429-19-050,"942 Michigan Av San Jose, CA 95125"
451,429-19-052,"926 Michigan Av San Jose, CA 95125"
452,429-19-053,"918 Michigan Av San Jose, CA 95125"
453,429-20-001,"1490 Curtiss Av San Jose, CA 95125"
454,429-20-002,"1482 Curtiss Av San Jose, CA 95125"
455,429-20-003,"1476 Curtiss Av San Jose, CA 95125"
456,429-20-013,"883 Jansen Av San Jose, CA 95125"
457,429-20-019,"1502 Curtiss Av San Jose, CA 95125"
458,429-20-020,"1496 Curtiss Av San Jose, CA 95125"
459,429-20-021,"838 Minnesota Av San Jose, CA 95125"
460,429-20-029,"805 Buchser WY San Jose, CA 95125"
